,id,respondentID,section,questionID,note,duration,variant,type,form
0,395,34,follow_up,11004,,1.7050440166666665,bfi2s_avatar,avatar,bfi
1,404,34,pre_survey_discussion,0,,1.6995363333333333,bfi2s_avatar,avatar,bfi
2,396,34,follow_up,11007,,1.0382645166666666,bfi2s_avatar,avatar,bfi
3,394,34,follow_up,11000,,1.6647350833333334,bfi2s_avatar,avatar,bfi
4,399,34,follow_up,11014,,1.29432285,bfi2s_avatar,avatar,bfi
5,397,34,follow_up,11008,,1.5411226833333334,bfi2s_avatar,avatar,bfi
6,398,34,follow_up,11011,,1.5420660833333335,bfi2s_avatar,avatar,bfi
7,400,34,follow_up,11017,,1.4521133666666666,bfi2s_avatar,avatar,bfi
8,402,34,follow_up,11022,,1.3520556833333333,bfi2s_avatar,avatar,bfi
9,401,34,follow_up,11018,,1.1683682166666667,bfi2s_avatar,avatar,bfi
10,405,34,post_survey_discussion,0,,0.11974508333333334,bfi2s_avatar,avatar,bfi
11,403,34,follow_up,11030,,1.4736587833333334,bfi2s_avatar,avatar,bfi
12,85,8,follow_up,10000,,1.5223438833333334,bfi2s_classic,classic,bfi
13,86,8,follow_up,10004,,2.6103335166666666,bfi2s_classic,classic,bfi
14,94,8,follow_up,10030,,2.9497711166666667,bfi2s_classic,classic,bfi
15,87,8,follow_up,10007,,2.64833515,bfi2s_classic,classic,bfi
16,88,8,follow_up,10008,,1.0860183333333333,bfi2s_classic,classic,bfi
17,89,8,follow_up,10011,,2.0298835,bfi2s_classic,classic,bfi
18,90,8,follow_up,10014,,1.8398223833333334,bfi2s_classic,classic,bfi
19,91,8,follow_up,10017,,2.1623047666666664,bfi2s_classic,classic,bfi
20,92,8,follow_up,10018,,1.6857817833333333,bfi2s_classic,classic,bfi
21,93,8,follow_up,10022,,2.5195279833333335,bfi2s_classic,classic,bfi
22,95,8,pre_survey_discussion,0,,0.7692423,bfi2s_classic,classic,bfi
23,96,8,post_survey_discussion,0,,0.3173469333333333,bfi2s_classic,classic,bfi
24,388,33,follow_up,10017,,1.2681643833333331,bfi2s_classic,classic,bfi
25,382,33,follow_up,10000,,1.3492680833333333,bfi2s_classic,classic,bfi
26,383,33,follow_up,10004,,1.2352604999999999,bfi2s_classic,classic,bfi
27,384,33,follow_up,10007,,1.4040381,bfi2s_classic,classic,bfi
28,385,33,follow_up,10008,,0.89769745,bfi2s_classic,classic,bfi
29,390,33,follow_up,10022,,1.8588208333333334,bfi2s_classic,classic,bfi
30,386,33,follow_up,10011,,5.779240683333333,bfi2s_classic,classic,bfi
31,387,33,follow_up,10014,,1.07175735,bfi2s_classic,classic,bfi
32,389,33,follow_up,10018,,2.0823492666666668,bfi2s_classic,classic,bfi
33,391,33,follow_up,10030,,1.5182967,bfi2s_classic,classic,bfi
34,392,33,pre_survey_discussion,0,,1.0743526166666666,bfi2s_classic,classic,bfi
35,393,33,post_survey_discussion,0,,,bfi2s_classic,classic,bfi
